Channel,Username,Message
disguisedtoast,dev964,I have decided there is literally never a time gunslingers are worth it
disguisedtoast,goodbyesleep,glacial is the best counter to glacial
disguisedtoast,argentorum,guisos bois
disguisedtoast,shelfyex,Rageblade
disguisedtoast,wewillsay,rageblade
disguisedtoast,brutalace,ANIVIA
disguisedtoast,pomo_the_dog,anivia
disguisedtoast,iamblackmain,@Zyclone just read up on it think your right
disguisedtoast,raleqt,oh wait im stupid
disguisedtoast,theopscientist,ANIVIA
disguisedtoast,lily_toast_chu,PUT IT ON BRAND
disguisedtoast,mavrofos,300iq
disguisedtoast,jafilip,glacial brand
disguisedtoast,theopscientist,4 GLACIALS!!!!!
disguisedtoast,causmic,brand full carry Pog
disguisedtoast,coolkippe,no one
disguisedtoast,flashfocus,BRAND
disguisedtoast,rosememories,element Pog
disguisedtoast,archelonde,anivia + glacial item = 4 glacial
disguisedtoast,xfengx,runanns hurricane :(
disguisedtoast,jrxray,ashe
disguisedtoast,flintzy310,brang
disguisedtoast,lnx1m,brand
disguisedtoast,flintzy310,brand
disguisedtoast,hettypatel,no one
disguisedtoast,brutalace,buy anivia glacial
disguisedtoast,sruan6,brand
disguisedtoast,sprinklyy,breand Pog
disguisedtoast,xfengx,kindreddd
disguisedtoast,zyclone,@IAMblackmain I know I am PepoG
disguisedtoast,theopscientist,ANIVIA!!!!!!!!!!!!!
disguisedtoast,zsunmi,Pepega brand
disguisedtoast,fitichadi,bra d
disguisedtoast,flintzy310,brand Pog
disguisedtoast,archelonde,buy anivia
disguisedtoast,eldyboo,Pepega
disguisedtoast,nomizerg,buy varus
disguisedtoast,pomo_the_dog,anivia 4 glacial
disguisedtoast,vvt0r,how many matches to get good at tft?
disguisedtoast,sruan6,brand ult glaical
disguisedtoast,geist242,Anivia
